Code,Name,Credits,Prerequisites,Description
INTD-3355,"RESEARCH METHODS IN LIBRARIES"
INGE-3016,"ALGORITHMS AND COMPUTER PROGRAMMING"
INGE-3017,"COMPUTED AIDED GRAPHICS"
INGE-3025,"INTRODUCTION TO COMPUTERS"
INGE-3031,"ENGINEERING MECHANICS STATICS"
INGE-3032,"ENGINEERING MECHANICS DYNAMICS"
INGE-3035,"ENGINEERING MECHANICS"
INGE-3045,"MATERIALS SCIENCE FOR ELECTRICAL ENGINEERS"
INME-3809,"CREATIVE DESIGN I"
INGE-4001,"ENGINEERING MATERIALS"
INGE-4008,"INTERDISCIPLINARY APPROACHES TO PROJECT MANAGEMENT"
INGE-4010,"FLUID MECHANICS (WITH LABORATORY)"
INGE-4011,"MECHANICS OF MATERIALS I"
INGE-4012,"MECHANICS OF MATERIALS II"
INGE-4015,"FLUID MECHANICS"
INGE-4016,"FLUID MECHANICS LABORATORY"
INGE-4019,"INTRODUCTION TO MECHANICS OF MATERIALS"
INGE-4035,"NUMERICAL METHODS APPLIED TO ENGINEERING"
INME-4046,"FUNDAMENTALS OF VIBRATION"
INGE-4995,"ENGINEERING PRACTICE FOR COOP STUDENTS"
INGE-4998,"UNDERGRADUATE RESEARCH"
INGE-5005,"STABILITY AND PROCESSING OF MATERIALS"
INGE-5015,"THEORY AND MANAGEMENT OF SYSTEMS"
INGE-5016,"INTRODUCTION TO MATERIALS CHARACTERIZATION"
INGE-5020,"INTRODUCTION TO CERAMIC MATERIALS"
INGE-5027,"OCEAN WAVE DYNAMICS FOR ENGINEERS"
INGE-5028,"ENGINEERING VIBRATIONS"
INGE-5037,"APPLIED SIGNAL PROCESSING FOR ENGINEERING MECHANICS"
INGE-5040,"ENGINEERING ACOUSTICS"
INGE-5065,"MATERIALS SELECTION"
INGE-5066,"RECYCLING OF MATERIALS"
INGE-5075,"NANOMATERIALS AND FINE PARTICLES PROCESSING"
INGE-5085,"MATERIAL SCIENCE AND ENGINEERING SEMINAR"
INGE-5095,"BIOMECHANICS OF THE MUSCULOSKELETAL SYSTEM"
INGE-5104,"NANOMEDICINE FUNDAMENTALS"
INGE-5185,"INTRODUCTION TO COASTAL ENGINEERING"
INGE-5996,"SPECIAL TOPICS"
ININ-3100,"INTRODUCTION TO INDUSTRIAL ENGINEERING"
ININ-4007,"INDUSTRIAL ORGANIZATION AND MANAGEMENT"
ININ-4009,"WORK MEASUREMENT"
ININ-4010,"PROBABILITY AND STATISTICS FOR ENGINEERS"
ININ-4015,"ENGINEERING ECONOMIC ANALYSIS"
ININ-4016,"INDUSTRIAL SAFETY"
ININ-4017,"COMPUTER-BASED INFORMATION SYSTEMS"
ININ-4018,"DISCRETE-EVENT SYSTEM SIMULATION"
ININ-4020,"APPLIED INDUSTRIAL STATISTICS"
ININ-4021,"DETERMINISTIC MODELS IN OPERATIONS RESEARCH"
ININ-4022,"PROBABILISTIC MODELS IN OPERATIONS RESEARCH"
ININ-4027,"DESIGN AND ANALYSIS OF ENGINEERING EXPERIMENTS"
ININ-4029,"HUMAN BEHAVIOR IN WORK ORGANIZATIONS"
ININ-4039,"PRODUCTION PLANNING AND CONTROL I"
ININ-4040,"FACILITIES LAYOUT AND DESIGN"
ININ-4046,"INDUSTRIAL ENGINEERING PRACTICE"
ININ-4050,"PRINTED CIRCUIT BOARD ASSEMBLY"
ININ-4057,"AUTOMATION AND PROCESS CONTROL"
ININ-4071,"ERGONOMICS AND HUMAN FACTORS IN WORK SYSTEMS DESIGN"
ININ-4072,"METHODS AND WORK MEASUREMENT"
ININ-4075,"PRODUCTION PLANNING AND CONTROL II"
ININ-4077,"WORK SYSTEMS DESIGN"
ININ-4078,"STATISTICAL QUALITY CONTROL"
ININ-4079,"DESIGN PROJECT"
ININ-4085,"ACCOUNTING FOR ENGINEERS"
ININ-4086,"COST ANALYSIS AND CONTROL"
ININ-4087,"COST MANAGEMENT"
ININ-4090,"INTERDISCIPLINARY APPROACHES TO PROJECT MANAGEMENT"
ININ-4150,"INTRODUCTION TO MODELS IN OPERATIONS RESEARCH"
ININ-4155,"DESIGN AND ANALYSIS OF PRODUCTION SYSTEMS AND INVENTORY MANAGEMENT"
ININ-4201,"INTRODUCTION TO MATHEMATICAL MODELS FOR INDUSTRIAL ENGINEERING APPLICATIONS"
ININ-4435,"METHODS AND WORK MEASUREMENT"
ININ-4995,"ENGINEERING PRACTICE FOR CO-OP STUDENTS"
ININ-4996,"SPECIAL PROBLEMS"
ININ-4998,"UNDERGRADUATE RESEARCH"
ININ-4999,"CAPSTONE DESIGN PROJECT SEMINAR"
ININ-5005,"MODERN OPTIMIZATION METHODS"
ININ-5006,"SYSTEMS ENGINEERING AND ANALYSIS"
ININ-5007,"COMPLEX SYSTEMS MODELING AND SYSTEM DYNAMICS"
ININ-5009,"LEAN SIX SIGMA METHODOLOGY"
ININ-5025,"QUEUEING SYSTEMS AND SIMULATION"
ININ-5105,"INTRODUCTION TO MEDICAL DEVICE DESIGN METHODS"
ININ-5200,"INTRODUCTION TO ENGINEERING MANAGEMENT"
ININ-5405,"STATISTICAL METHODS IN BIOINFORMATICS"
ININ-5505,"TOTAL QUALITY MANAGEMENT"
ININ-5555,"INTRODUCTION TO NONLINEAR OPTIMIZATION AND NEURAL NETWORKS"
ININ-5559,"ENGINEERING STATISTICS"
ININ-5565,"MEASUREMENT AND PREDICTION OF PRODUCT RELIABILITY"
ININ-5575,"SEQUENCING AND SCHEDULING OF RESOURCES"
ININ-5595,"DESIGN AND MANAGEMENT OF SERVICES PROCESSES"
ININ-5997,"SELECTED TOPICS IN INDUSTRIAL ENGINEERING"
INME-3810,"CREATIVE DESIGN II"
INME-4001,"THERMODYNAMICS I"
INME-4002,"THERMODYNAMICS II"
INME-4003,"DESIGN OF THERMAL AND FLUID SYSTEMS"
INME-4005,"MECHANISM DESIGN"
INME-4006,"DYNAMICS OF MACHINERY"
INME-4009,"AUTOMATIC CONTROLS"
INME-4011,"DESIGN OF MACHINE ELEMENTS I"
INME-4012,"DESIGN OF MACHINE ELEMENTS II"
INME-4015,"HEAT TRANSFER"
INME-4018,"ENERGY CONVERSION"
INME-4019,"ENERGY AUDITING AND MANAGEMENT"
INME-4027,"POWER PLANT ENGINEERING"
INME-4031,"MACHINE SCIENCE LABORATORY"
INME-4035,"REFRIGERATION AND AIR CONDITIONING"
INME-4037,"INTERNAL COMBUSTION ENGINES"
INME-4039,"MECHANICAL ENGINEERING PRACTICE"
INME-4045,"GENERAL THERMODYNAMICS FOR ENGINEERS"
INME-4055,"MANUFACTURING PROCESSES"
INME-4056,"MANUFACTURING PROCESSES LABORATORY"
INME-4057,"ENGINEERING DESIGN"
INME-4058,"COMPUTER AIDED DESIGN"
INME-4065,"PRODUCT DESIGN"
INME-4108,"MATERIALS SCIENCE AND ENGINEERING"
INME-4109,"MATERIALS SCIENCE AND ENGINEERING LABORATORY"
INME-4157,"ENGINEERING DESIGN"
INME-4210,"SYSTEM DYNAMICS AND CONTROLS I"
INME-4220,"SYSTEM DYNAMICS AND CONTROLS II"
INME-4235,"MECHATRONICS LABORATORY"
INME-4236,"THERMAL SCIENCE LABORATORY"
INME-4237,"MECHATRONICS LABORATORY"
INME-4238,"THERMAL SCIENCE LABORATORY"
INME-4705,"APPLIED AERODYNAMICS"
INME-4707,"GAS TURBINE THERMODYNAMICS AND PROPULSION"
INME-4709,"AIRCRAFT PERFORMANCE"
INME-4717,"INTRODUCTION TO AIRCRAFT STRUCTURAL ANALYSIS"
INME-4810,"DESIGN AND TECHNIQUES FOR AUTOMATION"
INME-4850,"INTRODUCTION TO ROBOTICS"
INME-4995,"ENGINEERING PRACTICE FOR COOP STUDENTS"
INME-4998,"UNDERGRADUATE RESEARCH"
INME-5005,"LUBRICATION"
INME-5007,"SOLAR ENERGY APPLICATIONS"
INME-5008,"CORROSION"
INME-5010,"DESIGN THINKING"
INME-5015,"SELECTED TOPICS IN MECHANICAL ENGINEERING"
INME-5018,"MATERIALS FAILURE ANALYSIS"
INME-5025,"METALS FATIGUE"
INME-5510,"INTRODUCTION TO FINITE ELEMENT MODELING"
INME-5520,"INTRODUCTION TO COMPUTATIONAL FLUID DYNAMICS"
INME-5530,"INTRODUCTION TO MULTIBODY DYNAMICS MODELING (MBD)"
INME-5707,"GAS TURBINE SYSTEM OPERATION"
INME-5717,"AIRCRAFT STRUCTURAL ANALYSIS AND DESIGN"
INME-5995,"SPECIAL PROBLEMS"
INME-5996,"SPECIAL PROBLEMS II"
INME-5997,"SELECTED TOPICS II"
